Country,Average FIFA Rating,Population
Portugal,70.6,10374822
Argentina,67.8,43590400
Brazil,70.9,206135893
Uruguay,69.5,3480222
Germany,65.9,81770900
Poland,64.1,38437239
Spain,69.9,46438422
Belgium,68.1,11319511
Chile,70.9,18191900
Croatia,69.1,4190669
Italy,67.0,60665551
Slovenia,68.3,2064188
France,67.3,66710000
Gabon,70.5,1802278
Sweden,64.5,9894888
Netherlands,68.1,17019800
Denmark,63.3,5717014
Slovakia,66.8,5426252
Colombia,65.7,48759958
Austria,64.5,8725931
Greece,68.8,10858018
Costa Rica,69.7,4890379
Armenia,67.0,2994400
Bosnia and Herzegovina,69.3,3531159
Côte d'Ivoire,68.3,22671331
Senegal,68.3,14799859
Switzerland,63.8,8341600
Morocco,69.7,33337529
Papua New Guinea,68.8,8083700
Egypt,70.0,91290000
Algeria,70.9,40400000
Cameroon,67.7,22709892
Serbia,70.4,7076372
Japan,62.3,126960000
Turkey,67.2,78741053
Ecuador,70.5,16545799
Montenegro,68.4,621810
Korea (Republic of),64.5,50801405
Kenya,67.1,47251000
Iceland,66.1,334300
Mexico,65.6,122273473
Norway,63.0,5223256
Congo (Democratic Republic of the),67.8,85026000
Ukraine,70.0,42692393
Russian Federation,66.5,146599183
Finland,64.3,5491817
Ireland,60.1,6378000
United States of America,65.0,323947000
Venezuela (Bolivarian Republic of),69.0,31028700
Ghana,66.8,27670174
Uzbekistan,68.4,31576400
Nigeria,66.8,186988000
Canada,64.1,36155487
Paraguay,69.7,6854536
Romania,68.7,19861408
Albania,66.3,2886026
Burkina Faso,68.5,19034397
New Zealand,62.0,4697854
Syrian Arab Republic,72.5,18564000
Peru,68.7,31488700
Bulgaria,67.1,7153784
Angola,68.3,25868000
Australia,62.8,24117360
South Africa,67.3,55653654
Jamaica,65.8,2723246
Tunisia,68.1,11154400
Mozambique,72.3,26423700
Iran (Islamic Republic of),68.4,79369900
Mali,67.4,18135000
Cuba,73.0,11239004
Hungary,68.5,9823000
Belarus,70.8,9498700
Saudi Arabia,61.1,32248200
China,67.6,1377422166
Israel,71.2,8527400
Benin,68.0,10653654
Georgia,67.0,3720400
Dominican Republic,69.7,10075045
Lithuania,64.1,2872294
Moldova (Republic of),69.7,3553100
Bolivia (Plurinational State of),65.5,10985059
Togo,71.0,7143000
Macedonia (the former Yugoslav Republic of),66.8,2058539
Honduras,69.8,8576532
Congo,65.1,4741000
Chad,68.0,14497000
Curaçao,67.7,154843
Sierra Leone,65.6,7075641
Gambia,65.7,1882450
Iraq,67.8,37883543
Trinidad and Tobago,68.2,1349667
Zimbabwe,66.5,14240168
Cyprus,62.5,847000
Latvia,67.4,1961600
Niger,68.7,20715000
Liechtenstein,65.0,37623
Oman,73.0,4420133
"Tanzania, United Republic of",67.5,55155000
Zambia,63.9,15933883
Libya,67.5,6385000
Haiti,63.3,11078033
Madagascar,66.8,22434363
Estonia,64.8,1315944
Guatemala,72.0,16176133
New Caledonia,68.5,268767
Korea (Democratic People's Republic of),62.5,25281000
Bermuda,63.2,61954
Comoros,68.3,806153
Panama,65.7,3814672
"Palestine, State of",63.2,4682467
Equatorial Guinea,67.3,1222442
Eritrea,71.0,5352000
Luxembourg,66.0,576200
Kuwait,66.0,4183658
Suriname,69.3,541638
Uganda,62.8,33860700
Mauritania,66.5,3718678
El Salvador,69.0,6520675
Central African Republic,67.0,4998000
Azerbaijan,64.3,9730500
Fiji,69.0,867000
Guam,69.0,184200
Lebanon,62.6,5988000
Qatar,64.3,2587564
Philippines,61.7,103279800
Somalia,68.0,11079000
Kazakhstan,66.0,17753200
Montserrat,64.5,4922
Ethiopia,65.5,92206005
Mauritius,67.0,1262879
India,57.9,1295210000
Liberia,64.0,4615000
Puerto Rico,66.0,3474182
Namibia,64.5,2324388
Faroe Islands,60.8,49376
Guyana,61.6,746900
Thailand,59.0,65327652
Barbados,65.0,285000
Antigua and Barbuda,58.6,86295
Gibraltar,64.0,33140
Grenada,64.0,103328
Belize,64.0,370300
Burundi,64.0,10114505
Turkmenistan,63.0,4751120
Swaziland,63.0,1132657
Malta,62.0,425384
Sudan,60.0,39598700
Viet Nam,61.0,92700000
Afghanistan,56.3,27657145
Sri Lanka,60.0,20966000
Kyrgyzstan,58.0,6047800
Brunei Darussalam,55.0,411900
San Marino,54.0,33005
Hong Kong,54.0,7324300
